login,alloc_type,experiment,time
padas_o_a,T*,610,8.76285e-06
padas_o_a,T*,610,8.59543e-06
padas_o_a,T*,610,8.37074e-06
padas_o_a,T*,610,8.59984e-06
padas_o_a,T*,610,8.45005e-06
padas_o_a,T*,610,8.45005e-06
padas_o_a,T*,710,5.52372e-06
padas_o_a,T*,710,5.35049e-06
padas_o_a,T*,710,5.36223e-05
padas_o_a,T*,710,5.38681e-06
padas_o_a,T*,710,5.42314e-06
padas_o_a,T*,710,5.3952e-06
padas_o_a,T*,710,5.35887e-06
padas_o_a,T*,710,5.35049e-06
padas_o_a,T*,710,5.35329e-06
padas_o_a,T*,710,5.50416e-06
padas_o_a,T*,710,5.33093e-06
padas_o_a,T*,710,5.35887e-06
padas_o_a,T*,710,5.80032e-06
padas_o_a,T*,710,5.38123e-06
padas_o_a,T*,710,5.38961e-06
padas_o_a,T*,810,3.76523e-06
padas_o_a,T*,810,3.62599e-06
padas_o_a,T*,810,3.63916e-06
padas_o_a,T*,810,3.64293e-06
padas_o_a,T*,810,3.59212e-06
padas_o_a,T*,810,3.57895e-06
padas_o_a,T*,810,3.85932e-06
padas_o_a,T*,810,2.79278e-05
padas_o_a,T*,810,3.65422e-06
padas_o_a,T*,810,3.65422e-06
padas_o_a,T*,810,3.62223e-06
padas_o_a,T*,810,3.62411e-06
padas_o_a,T*,810,3.70878e-06
padas_o_a,T*,810,3.68432e-06
padas_o_a,T*,810,3.59024e-06
padas_o_a,T*,910,2.63147e-06
padas_o_a,T*,910,2.57176e-06
padas_o_a,T*,910,2.5691e-06
padas_o_a,T*,910,2.74958e-06
padas_o_a,T*,910,2.5545e-06
padas_o_a,T*,910,2.55318e-06
padas_o_a,T*,910,2.60228e-06
padas_o_a,T*,910,2.54654e-06
padas_o_a,T*,910,2.59431e-06
padas_o_a,T*,910,2.61422e-06
padas_o_orusov_t_d,T*,10,5.165
orusov_t_d,T*,10,5.111
orusov_t_d,T*,10,2.404
orusov_t_d,T*,10,2.329
orusov_t_d,T*,10,2.365
orusov_t_d,T*,10,2.339
orusov_t_d,T*,10,2.365
orusov_t_d,T*,10,2.3
orusov_t_d,T*,10,2.327
orusov_t_d,T*,10,2.295
orusov_t_d,T*,10,2.28
orusov_t_d,T*,10,2.295
orusov_t_d,T*,10,2.271
orusov_t_d,T*,10,2.279
orusov_t_d,T*,10,2.252
orusov_t_d,T*,110,3.34157
orusov_t_d,T*,110,3.18272
orusov_t_d,T*,110,2.14109
orusov_t_d,T*,110,2.15032
orusov_t_d,T*,110,2.13629
orusov_t_d,T*,110,2.07101
orusov_t_d,T*,110,2.13685
orusov_t_d,T*,110,2.146
orusov_t_d,T*,110,2.11042
orusov_t_d,T*,110,2.1075
orusov_t_d,T*,110,2.14623
orusov_t_d,T*,110,2.0675
orusov_t_d,T*,110,2.15517
orusov_t_d,T*,110,2.14003
orusov_t_d,T*,110,2.06705
orusov_t_d,T*,210,3.35281
orusov_t_d,T*,210,3.24922
orusov_t_d,T*,210,3.17099
orusov_t_d,T*,210,3.1733
orusov_t_d,T*,210,3.22188
orusov_t_d,T*,210,3.2368
orusov_t_d,T*,210,3.30566
orusov_t_d,T*,210,3.30851
orusov_t_d,T*,210,3.3417
orusov_t_d,T*,210,3.2818
orusov_t_d,T*,210,3.21594
orusov_t_d,T*,210,3.27131
orusov_t_d,T*,210,3.30408
orusov_t_d,T*,210,3.26176
orusov_t_d,T*,210,3.2446
orusov_t_d,T*,310,3.35974
orusov_t_d,T*,310,3.50805
orusov_t_d,T*,310,3.76856
orusov_t_d,T*,310,3.76263
orusov_t_d,T*,310,3.59373
orusov_t_d,T*,310,3.55167
orusov_t_d,T*,310,3.52697
orusov_t_d,T*,310,3.36952
orusov_t_d,T*,310,3.40457
orusov_t_d,T*,310,3.38281
